category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.12266012,-0.00062521896,0.1325224,0.023396386,0.13370149,0.023862688
price_transform,0.05331637,-0.0034751731,0.06512312,-0.003306862,0.060649384,-0.0044724927
volatility,0.016475515,0.0041119624,0.023511501,0.010654865,0.022005793,0.008129962
volume,0.0562433,-0.0014775225,0.042404644,0.0039568464,0.037140492,0.0019084907
momentum,0.5452451,-0.020540658,0.5167935,0.029542128,0.51783645,0.023059005
overlap,0.20605956,-0.008469483,0.21964489,0.012072919,0.2286664,0.017390423
