category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.1889306,0.1889306,0.21551108,0.21551108,0.2213791,0.2213791
price_transform,0.08396915,0.08396915,0.095782705,0.095782705,0.09839071,0.09839071
volatility,0.012581578,0.012581578,0.01538186,0.01538186,0.0128869265,0.0128869265
volume,0.037744734,0.037744734,0.04614558,0.04614558,0.03866078,0.03866078
momentum,0.52331096,0.52331096,0.5089649,0.5089649,0.5039475,0.5039475
overlap,0.15346296,0.15346296,0.11821382,0.11821382,0.12473504,0.12473504
