column,Hold,Buy,Sell
0,0.015850658,0.015305768,0.015425246
1,0.015850658,0.015305768,0.015425246
2,0.015850658,0.015305768,0.015425246
3,0.015850658,0.015305768,0.015425246
4,0.015850658,0.015305768,0.015425246
5,0.015850658,0.015305768,0.015425246
6,0.015850658,0.015305768,0.015425246
7,0.015850658,0.015305768,0.015425246
8,0.015850658,0.015305768,0.015425246
9,0.015850658,0.015305768,0.015425246
10,0.015850658,0.015305768,0.015425246
11,0.015850658,0.015305768,0.015425246
12,0.015850658,0.015305768,0.015425246
13,0.015498542,0.015361895,0.016979376
14,0.015498542,0.015361895,0.016979376
15,0.015498542,0.015361895,0.016979376
16,0.015498542,0.015361895,0.016979376
17,0.015498542,0.015361895,0.016979376
18,0.015498542,0.015361895,0.016979376
19,0.015498542,0.015361895,0.016979376
20,0.015498542,0.015361895,0.016979376
21,0.015498542,0.015361895,0.016979376
22,0.015498542,0.015361895,0.016979376
23,0.015498542,0.015361895,0.016979376
24,0.015498542,0.015361895,0.016979376
25,0.015498542,0.015361895,0.016979376
26,0.01536444,0.015573389,0.015262576
27,0.01536444,0.015573389,0.015262576
28,0.01536444,0.015573389,0.015262576
29,0.01536444,0.015573389,0.015262576
30,0.01536444,0.015573389,0.015262576
31,0.01536444,0.015573389,0.015262576
32,0.01536444,0.015573389,0.015262576
33,0.01536444,0.015573389,0.015262576
34,0.01536444,0.015573389,0.015262576
35,0.01536444,0.015573389,0.015262576
36,0.01536444,0.015573389,0.015262576
37,0.01536444,0.015573389,0.015262576
38,0.01536444,0.015573389,0.015262576
39,0.015562907,0.016156273,0.01470556
40,0.015562907,0.016156273,0.01470556
41,0.015562907,0.016156273,0.01470556
42,0.015562907,0.016156273,0.01470556
43,0.015562907,0.016156273,0.01470556
44,0.015562907,0.016156273,0.01470556
45,0.015562907,0.016156273,0.01470556
46,0.015562907,0.016156273,0.01470556
47,0.015562907,0.016156273,0.01470556
48,0.015562907,0.016156273,0.01470556
49,0.015562907,0.016156273,0.01470556
50,0.015562907,0.016156273,0.01470556
51,0.015562907,0.016156273,0.01470556
52,0.01464653,0.014525758,0.014550318
53,0.01464653,0.014525758,0.014550318
54,0.01464653,0.014525758,0.014550318
55,0.01464653,0.014525758,0.014550318
56,0.01464653,0.014525758,0.014550318
57,0.01464653,0.014525758,0.014550318
58,0.01464653,0.014525758,0.014550318
59,0.01464653,0.014525758,0.014550318
60,0.01464653,0.014525758,0.014550318
61,0.01464653,0.014525758,0.014550318
62,0.01464653,0.014525758,0.014550318
63,0.01464653,0.014525758,0.014550318
64,0.01464653,0.014525758,0.014550318
