category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.12235091,-0.005945415,0.1327425,0.023093473,0.13253525,0.023302145
price_transform,0.05577415,-0.0023092967,0.064740665,-0.0032743486,0.05986818,-0.0038993608
volatility,0.016587283,-0.0003134674,0.022913445,0.010334641,0.021335399,0.0074638827
volume,0.05347523,-0.0014207538,0.04268385,0.003882701,0.037862405,0.0021548248
momentum,0.5414554,-0.024596397,0.51875114,0.029734602,0.51949906,0.023890208
overlap,0.21035704,-0.01037643,0.2181684,0.012007545,0.22889969,0.017204678
