category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.20796606,0.07577433,0.15773262,0.014602016,0.16821855,0.061007883
price_transform,0.03510572,-0.015954364,0.050922893,0.008791757,0.042906646,0.0049364227
volatility,0.04310267,0.040364854,0.027190983,0.0103837885,0.040907145,0.027588347
volume,0.031118818,-0.002301735,0.036157258,0.008926736,0.033485673,0.0070193904
momentum,0.49987462,0.03380366,0.5312585,0.06047444,0.5235164,0.09037752
overlap,0.18283212,-0.024541773,0.19673763,0.020433461,0.19096561,0.022882642
