category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.13015224,0.013551883,0.12380671,0.007326619,0.1291638,0.01185797
price_transform,0.052711625,-0.005645844,0.061542496,0.0012739305,0.059605327,-0.00023549041
volatility,0.01736112,0.0106341345,0.014692528,0.0021870623,0.018499292,0.0052914093
volume,0.059884135,-0.0006172419,0.052546203,0.0023548282,0.047279626,0.0019177538
momentum,0.55031145,-0.00814604,0.53328395,0.01951013,0.527925,0.017552735
overlap,0.18957941,-0.0073575433,0.21412814,0.009307603,0.2175269,0.006192183
