column,Hold,Buy,Sell
0,0.0136896195,0.013154223,0.015727697
1,0.017351853,0.015706005,0.015866948
2,0.013488027,0.015138992,0.014557502
3,0.0136945825,0.011909215,0.016557038
4,0.012930204,0.014585087,0.013683106
5,0.013932461,0.014415183,0.014198563
6,0.01495142,0.013323304,0.013155884
7,0.0136980815,0.01670486,0.016037734
8,0.0141529385,0.013235097,0.01630622
9,0.013617299,0.014877629,0.0145679405
10,0.016511437,0.016545948,0.015422119
11,0.017320074,0.016487654,0.016124658
12,0.022977965,0.02219852,0.018582549
13,0.013608901,0.013288664,0.015506003
14,0.017320374,0.015957644,0.015738668
15,0.013724454,0.015389924,0.014636059
16,0.013746621,0.012042055,0.016629929
17,0.012965698,0.014870366,0.013720294
18,0.014042727,0.01444026,0.014211317
19,0.015199227,0.013536056,0.012945282
20,0.013938436,0.016600644,0.015941195
21,0.014301493,0.013152365,0.01642278
22,0.01371529,0.014875065,0.01451756
23,0.016659586,0.016553188,0.015205204
24,0.017442804,0.016412875,0.016025258
25,0.023242902,0.022216886,0.018517511
26,0.013426998,0.013250449,0.015559304
27,0.016980972,0.015983073,0.015584684
28,0.013530735,0.015525148,0.014422618
29,0.0135620665,0.012024896,0.016204463
30,0.012869988,0.014785632,0.013392442
31,0.013925929,0.0144429235,0.0140186865
32,0.015081801,0.013517681,0.012642767
33,0.014016314,0.016608134,0.015805619
34,0.014417495,0.013023281,0.016208708
35,0.013872908,0.014809439,0.014168021
36,0.016890239,0.016469607,0.015182641
37,0.017340831,0.016197918,0.015928145
38,0.023405196,0.02174249,0.01855238
39,0.013735545,0.013215643,0.015801901
40,0.01719308,0.015872976,0.015579072
41,0.013563302,0.015416238,0.014707283
42,0.0137141915,0.012026874,0.016657555
43,0.013000076,0.014870365,0.013576893
44,0.013997111,0.01466938,0.0141558265
45,0.014953878,0.013688919,0.013020555
46,0.01384483,0.016941614,0.01607966
47,0.014436045,0.013453256,0.016475331
48,0.013905135,0.015064876,0.014458234
49,0.01662646,0.016735762,0.01546107
50,0.01755886,0.01660203,0.015969705
51,0.023521252,0.022080746,0.018487016
52,0.013754161,0.013652151,0.016076764
53,0.017504299,0.016362768,0.0157137
54,0.013766719,0.016102154,0.014977013
55,0.013890139,0.01241577,0.01675731
56,0.013245938,0.015100685,0.013634752
57,0.014232333,0.014832137,0.014376056
58,0.0150318,0.013941966,0.012869228
59,0.013963628,0.01711234,0.016007997
60,0.014619793,0.013421283,0.016395584
61,0.014255621,0.015084919,0.014487131
62,0.016853971,0.016608166,0.015444042
63,0.017603163,0.016603399,0.015861042
64,0.023682747,0.022125186,0.018493809
