category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.24372628,0.24372628,0.15717287,0.15717287,0.16994435,0.16994435
price_transform,0.10832279,0.10832279,0.06985461,0.06985461,0.07553082,0.07553082
volatility,0.011960537,0.011960537,0.016189532,0.016189532,0.01595385,0.01595385
volume,0.035881612,0.035881612,0.0485686,0.0485686,0.04786155,0.04786155
momentum,0.48823,0.48823,0.5520399,0.5520399,0.50462306,0.50462306
overlap,0.1118787,0.1118787,0.15617451,0.15617451,0.18608625,0.18608625
