ticker,strategy,start_date,end_date,years,final_capital,annualized_return_pct,sharpe_daily_annualized,max_drawdown_pct,transactions,transactions_per_year,success_pct,avg_profit_per_transaction_pct,avg_transaction_length_days,max_profit_per_transaction_pct,max_loss_per_transaction_pct,idle_ratio_pct,max_capital,min_capital
EWH,model,2007-01-03,2021-12-30,14.989733059548255,33590.32197577487,8.418893959963846,0.4641472717564976,-57.06361195464913,43,2.8686301369863014,76.74418604651163,3.353532856111977,79.09302325581395,32.36277996031416,-38.209967699177106,9.595959595959592,39576.12619075216,4949.371855837345
EWH,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,22536.25187434215,5.570252229358186,0.34091395440645594,-63.575880796405926,1,0.06671232876712328,100.0,125.36251874342148,3761.0,125.36251874342148,125.36251874342148,0.026581605528974706,26552.605604952703,5431.51781732869
EWZ,model,2007-01-03,2021-12-30,14.989733059548255,11784.568815829234,1.1014775830681112,0.2051996186182129,-68.20492048378112,102,6.804657534246575,51.9607843137255,0.7336820382187463,22.107843137254903,52.344995307849686,-54.43414825396802,40.05847953216374,19047.671412388023,6056.222271556862
EWZ,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,9837.163384772566,-0.10946632447395022,0.19867650047314536,-77.24913559799904,1,0.06671232876712328,0.0,-1.628366152274341,3761.0,-1.628366152274341,-1.628366152274341,0.026581605528974706,21832.784017616403,4967.147087029644
QQQ,model,2007-01-03,2021-12-30,14.989733059548255,90244.41946003166,15.807934785504617,0.815533978566448,-49.36683263601631,24,1.601095890410959,66.66666666666666,40.042587226890305,140.58333333333334,968.8859297083795,-35.04993717226501,10.313662945241898,90950.98856811997,5344.848209493176
QQQ,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,105138.275685083,16.994122865840012,0.828336025961481,-53.40400543064885,1,0.06671232876712328,100.0,951.3827568508301,3761.0,951.3827568508301,951.3827568508301,0.026581605528974706,105961.28998136571,5940.974306342942
SPY,model,2007-01-03,2021-12-30,14.989733059548255,101423.70240044381,16.71371864594109,0.9739175446893695,-33.71727586013766,25,1.667808219178082,80.0,22.781208099550792,129.36,516.8183597665325,-5.45479005576256,14.035087719298245,101705.87457828746,8667.567173062496
SPY,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,45309.553538402775,10.60530266813251,0.6011011087914032,-55.189433549788966,1,0.06671232876712328,100.0,353.09553538402776,3761.0,353.09553538402776,353.09553538402776,0.026581605528974706,45436.16462442198,5024.361266877717
XLE,model,2007-01-03,2021-12-30,14.989733059548255,11376.175237901949,0.8638733449508829,0.16647239679046896,-64.41572779404277,61,4.06945205479452,57.377049180327866,0.661536143365054,26.83606557377049,16.97771806388808,-47.281609576887874,56.48591174906965,12404.994748735315,4414.227098524674
XLE,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,15006.11083471618,2.744659865822463,0.24479911128463844,-71.26277221801041,1,0.06671232876712328,100.0,50.0611083471618,3761.0,50.0611083471618,50.0611083471618,0.026581605528974706,20261.53969620328,5822.60481463618
XLF,model,2007-01-03,2021-12-30,14.989733059548255,49443.380925926496,11.251422254484499,0.5165816741906181,-62.96147297623964,59,3.9360273972602737,55.932203389830505,6.768502050654152,51.49152542372882,365.51278173192213,-27.90085123347813,19.245082402977143,51095.45744975935,3996.878842755865
XLF,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,17669.24844657805,3.87056492821527,0.2802639029029521,-82.68654705980497,1,0.06671232876712328,100.0,76.6924844657805,3761.0,76.6924844657805,76.6924844657805,0.026581605528974706,18260.30401677816,1790.2565533395464
XLP,model,2007-01-03,2021-12-30,14.989733059548255,49391.297434132284,11.243600265856868,0.8699413777562499,-24.512263244366128,4,0.26684931506849313,75.0,94.74939297294267,814.75,374.87745116805036,-3.2972327948382785,13.3705475810739,49547.07145259174,8447.902551843541
XLP,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,43472.50267238483,10.300323218754892,0.7374575150248848,-32.38757383488847,1,0.06671232876712328,100.0,334.72502672384826,3761.0,334.72502672384826,334.72502672384826,0.026581605528974706,43609.72975747002,7735.378309199041
XLU,model,2007-01-03,2021-12-30,14.989733059548255,41578.34918830511,9.973000610409265,0.6289279112376459,-36.06675864787622,6,0.4002739726027397,66.66666666666666,51.856533226783576,545.8333333333334,309.4560079973264,-2.5521868837355965,12.945241892610316,41578.34918830511,8688.694927542401
XLU,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,33154.17997285153,8.324407330714067,0.5079264686047332,-46.48094127441394,1,0.06671232876712328,100.0,231.54179972851531,3761.0,231.54179972851531,231.54179972851531,0.026581605528974706,33154.17997285153,6575.8713515625595
XLY,model,2007-01-03,2021-12-30,14.989733059548255,101177.79542910618,16.69481910565642,0.8561192170240132,-54.32431590927615,27,1.8012328767123287,70.37037037037037,29.567279524169887,124.51851851851852,777.3727319762615,-23.679853042545083,10.632642211589582,104226.99206574539,5036.874887205599
XLY,buy_and_hold,2007-01-03,2021-12-30,14.989733059548255,65532.0612989247,13.362009622051762,0.6793837611367883,-59.04753591884495,1,0.06671232876712328,100.0,555.320612989247,3761.0,555.320612989247,555.320612989247,0.026581605528974706,67507.36486908353,4303.549728352934
