epoch,train_loss,val_loss,val_acc,val_recall_0,val_recall_1,val_recall_2,lr,elapsed_s
0,0.535301932786046,0.45990779995918274,0.8753387533875339,1.0,0.0,0.0,0.00015374999999999997,1.5453875064849854
1,0.4681368418256983,0.45538032054901123,0.8753387533875339,1.0,0.0,0.0,0.0003,3.147850275039673
2,0.4575441617372357,0.4247475266456604,0.8753387533875339,1.0,0.0,0.0,0.0002996788384857905,4.813540935516357
3,0.44451548959909165,0.4227807819843292,0.8753387533875339,1.0,0.0,0.0,0.00029871672920607153,6.424612998962402
4,0.4291472238021088,0.41147321462631226,0.8753387533875339,1.0,0.0,0.0,0.00029711779206048454,8.080339193344116
5,0.40647856872628046,0.41443920135498047,0.8744354110207768,0.9969040247678018,0.027777777777777776,0.0,0.0002948888739433602,9.700337648391724
6,0.37032001462471137,0.40586036443710327,0.8753387533875339,1.0,0.0,0.0,0.0002920395194242658,11.33237624168396
7,0.34985001466084636,0.39979293942451477,0.8590785907859079,0.9690402476780186,0.1527777777777778,0.015151515151515152,0.000288581929876693,12.893282890319824
8,0.3276545568486043,0.3558894991874695,0.8735320686540199,0.9886480908152735,0.125,0.0,0.00028453091122990323,14.500659227371216
9,0.30869962065347395,0.38002997636795044,0.8663053297199639,0.9711042311661506,0.25,0.0,0.0002799038105676658,16.118673086166382
10,0.2955186578068527,0.38302046060562134,0.8545618789521229,0.9545923632610939,0.25,0.045454545454545456,0.0002747204418453818,17.74313473701477
11,0.29456927199582034,0.3890862762928009,0.8672086720867209,0.9803921568627451,0.1388888888888889,0.0,0.00026900300104368524,19.343722820281982
12,0.27089228884682565,0.4001513421535492,0.8482384823848238,0.9597523219814241,0.09722222222222222,0.030303030303030304,0.0002627759711218466,20.90614080429077
13,0.2550442813268328,0.39798638224601746,0.8518518518518519,0.9566563467492261,0.1527777777777778,0.07575757575757576,0.00025606601717798207,22.474673748016357
14,0.2364550803407353,0.4114935100078583,0.8590785907859079,0.9628482972136223,0.25,0.0,0.0002489018722650103,24.027111768722534
