category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.14513737,0.14513737,0.08306598,0.08306598,0.11093595,0.11093595
price_transform,0.064505495,0.064505495,0.03691821,0.03691821,0.049304865,0.049304865
volatility,0.017040726,0.017040726,0.0110763265,0.0110763265,0.014382373,0.014382373
volume,0.051122177,0.051122177,0.03322898,0.03322898,0.043147117,0.043147117
momentum,0.4954779,0.4954779,0.7071667,0.7071667,0.6366104,0.6366104
overlap,0.22671637,0.22671637,0.12854373,0.12854373,0.14561932,0.14561932
