ticker,strategy,start_date,end_date,years,final_capital,annualized_return_pct,sharpe_daily_annualized,max_drawdown_pct,transactions,transactions_per_year,success_pct,avg_profit_per_transaction_pct,avg_transaction_length_days,max_profit_per_transaction_pct,max_loss_per_transaction_pct,idle_ratio_pct,max_capital,min_capital
ADANIENT,model,2013-01-01,2025-12-23,12.974674880219029,14211.200642827263,2.7457212981233603,0.2751912566118034,-71.1776741216765,193,14.875131884363789,62.69430051813472,0.6294189911686917,7.38860103626943,29.398427957181816,-51.4432950123239,54.3971858010873,19986.259637315477,3121.9984709288133
ADANIENT,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,605536.2600714411,37.20037048131377,0.8963889102880435,-72.96035358249475,1,0.0770732221987761,100.0,5955.36260071441,3126.0,5955.36260071441,5955.36260071441,0.03197953309881374,1120059.1978892472,5069.597906390019
ADANIPORTS,model,2013-01-01,2025-12-23,12.974674880219029,45421.50022991418,12.371779845062857,0.5749635639903811,-52.50943965402415,202,15.568790884152774,69.80198019801979,0.912265005318519,7.133663366336633,12.977602797130228,-30.580495757066917,53.754813863928106,45881.71248306691,8737.812357098042
ADANIPORTS,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,116030.57964919097,20.795298097654946,0.7083118761055487,-53.24178837906983,1,0.0770732221987761,100.0,1060.3057964919096,3115.0,1060.3057964919096,1060.3057964919096,0.03209242618742447,122934.06684171878,8912.81164872811
APOLLOHOSP,model,2013-01-01,2025-12-23,12.974674880219029,54052.52858846282,13.88866221352889,0.7302993737433823,-39.35334438765325,202,15.568790884152774,70.79207920792079,0.9476779698803554,7.237623762376238,13.198748770020497,-30.634691625357025,53.24592260952989,60654.51076489847,9999.0
APOLLOHOSP,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,94206.72157872161,18.870921655716977,0.7209089084352105,-39.42231732923823,1,0.0770732221987761,100.0,842.0672157872161,3126.0,842.0672157872161,842.0672157872161,0.03197953309881374,106707.04426202773,9795.39285089356
ASIANPAINT,model,2013-01-01,2025-12-23,12.974674880219029,22437.738882265352,6.426820882462603,0.45308931007416575,-26.201211640501054,194,14.952205106562566,68.04123711340206,0.49775962093627646,7.180412371134021,10.503933410074362,-20.1323780667808,55.45251039334826,27339.822695245974,8476.173625017616
ASIANPAINT,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,70856.97509616526,16.289827879056816,0.7468712214018609,-39.04157866172325,1,0.0770732221987761,100.0,608.5697509616526,3126.0,608.5697509616526,608.5697509616526,0.03197953309881374,87323.39477882767,8931.50610895684
AXISBANK,model,2013-01-01,2025-12-23,12.974674880219029,16743.2636539251,4.0523945388468485,0.293076026981848,-59.270468148424804,203,15.645864106351551,69.45812807881774,0.4482248270139458,7.157635467980295,19.4466276732292,-50.02521907034239,53.53373840741925,18194.710452647443,5303.381023863643
AXISBANK,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,47587.34924130212,12.775939562632477,0.5429953749791023,-63.11054889268838,1,0.0770732221987761,100.0,375.8734924130212,3126.0,375.8734924130212,375.8734924130212,0.03197953309881374,51130.286629638606,5827.189405888679
BAJAJ-AUTO,model,2013-01-01,2025-12-23,12.974674880219029,35088.67027616205,10.15843831567793,0.6376981555984272,-36.57529071616812,197,15.183424773158894,68.52791878172589,0.7234199604929069,7.238578680203045,11.842280649765202,-22.54800209599739,54.23620025673941,43442.36137727238,8473.136061256364
BAJAJ-AUTO,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,59353.75263391667,14.71286950132049,0.6909451662001799,-42.313526174411855,1,0.0770732221987761,100.0,493.53752633916673,3115.0,493.53752633916673,493.53752633916673,0.03209242618742447,80583.37245091943,7849.489952918184
BAJAJFINSV,model,2013-01-01,2025-12-23,12.974674880219029,76275.30114340405,16.952139946436674,0.8175004810265881,-53.88425626615607,208,16.03123021734543,74.51923076923077,1.1545770389781465,6.485576923076923,11.447752127335065,-49.389419449286656,56.8596098496962,76358.2589775166,7670.37350008785
BAJAJFINSV,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,226854.42610848503,27.201376081258033,0.936804334835663,-58.566345804747755,1,0.0770732221987761,100.0,2168.5442610848504,3126.0,2168.5442610848504,2168.5442610848504,0.03197953309881374,241147.4642213795,6204.932782099661
BAJFINANCE,model,2013-01-01,2025-12-23,12.974674880219029,43097.63952078785,11.917854078822309,0.5885648856993722,-57.04229645308918,185,14.258546106773581,72.43243243243244,1.0230496757594352,7.27027027027027,11.453610998464736,-50.87893555185534,56.98752798209146,43350.05533432138,7787.12069288731
BAJFINANCE,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,805031.7865364595,40.2449238705056,1.1640257582460745,-62.43781309110194,1,0.0770732221987761,100.0,7950.317865364595,3126.0,7950.317865364595,7950.317865364595,0.03197953309881374,870898.3482375048,7499.319119535287
BEL,model,2013-01-01,2025-12-23,12.974674880219029,24833.41589404499,7.262208074547782,0.41101931858144714,-48.93913534485996,189,14.566838995568684,66.66666666666666,0.6523413589711534,7.825396825396825,17.851368784805555,-26.858781023796574,52.702270546850016,25401.263509053162,6994.238889867853
BEL,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,381467.8431288701,32.40002244575961,0.9844690742817032,-67.20354507479446,1,0.0770732221987761,100.0,3714.6784312887016,3126.0,3714.6784312887016,3714.6784312887016,0.03197953309881374,411888.50122075493,7186.219869723848
BHARTIARTL,model,2013-01-01,2025-12-23,12.974674880219029,66390.3400687291,15.70770325011901,0.8212184282356297,-29.360388917464984,195,15.029278328761341,68.71794871794872,1.0717876357144256,7.374358974358974,12.31905970099585,-17.064947486173075,54.0134314039015,66390.3400687291,8077.1035810814565
BHARTIARTL,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,78598.04534796055,17.222847950418398,0.7024264967480243,-46.78187587877773,1,0.0770732221987761,100.0,685.9804534796056,3126.0,685.9804534796056,685.9804534796056,0.03197953309881374,80072.61887398506,8389.411299041789
CIPLA,model,2013-01-01,2025-12-23,12.974674880219029,35479.7988596767,10.25259477650069,0.6439097270616846,-33.40835872261757,204,15.722937328550326,69.11764705882352,0.6832484285111446,7.269607843137255,8.699842438748684,-13.140855856482325,52.57435241445475,36890.11250529008,7943.74885551325
CIPLA,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,38859.00082581363,11.028384145040548,0.5483200606983066,-47.89647128762643,1,0.0770732221987761,100.0,288.5900082581363,3126.0,288.5900082581363,288.5900082581363,0.03197953309881374,43078.229393668356,8619.331995747123
DRREDDY,model,2013-01-01,2025-12-23,12.974674880219029,14862.960178010308,3.101435271222863,0.26638762481785083,-51.35020173440271,193,14.875131884363789,66.32124352331607,0.3026954682635515,7.300518134715026,9.702407535508328,-24.69849378102872,54.940837863767186,16952.340712365876,7018.112883034232
DRREDDY,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,38089.66002807634,10.857396366376104,0.541972758263667,-55.88712105272899,1,0.0770732221987761,100.0,280.8966002807634,3126.0,280.8966002807634,280.8966002807634,0.03197953309881374,41654.53860177783,9487.544381300075
EICHERMOT,model,2013-01-01,2025-12-23,12.974674880219029,35126.25736597673,10.167528621430954,0.5606599732092121,-35.79112714941738,198,15.26049799535767,68.18181818181817,0.7352641088059877,6.914141414141414,13.975167175279935,-17.943981863412084,56.22001918771986,35126.25736597673,9357.156481204034
EICHERMOT,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,273806.121902498,29.05902374804823,0.9941514414702579,-60.664571842395965,1,0.0770732221987761,100.0,2638.06121902498,3126.0,2638.06121902498,2638.06121902498,0.03197953309881374,273806.121902498,8792.820457073229
GRASIM,model,2013-01-01,2025-12-23,12.974674880219029,13572.294552165522,2.382095791908312,0.22323227880654958,-45.056181120849295,191,14.720985439966237,65.44502617801047,0.28410901588503606,7.476439790575916,9.189347396047154,-33.927117690543376,54.33322673488967,14894.342241217557,5986.900488365512
GRASIM,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,62260.57220754388,15.136378047618582,0.6617966807837811,-68.58966980893024,1,0.0770732221987761,100.0,522.6057220754388,3126.0,522.6057220754388,522.6057220754388,0.03197953309881374,65097.64016214875,6858.28188586066
HCLTECH,model,2013-01-01,2025-12-23,12.974674880219029,53500.41545739485,13.798577360705888,0.8223832511271785,-27.485285789046532,191,14.720985439966237,72.77486910994764,0.9503173541123784,6.727748691099476,10.840415801058189,-15.335382917837414,58.90629996802046,61246.92197127966,9896.21510270588
HCLTECH,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,149727.81442347402,23.19252296333896,0.9334826411814526,-34.7221074010815,1,0.0770732221987761,100.0,1397.2781442347402,3126.0,1397.2781442347402,1397.2781442347402,0.03197953309881374,171308.40438851665,9999.0
HDFCBANK,model,2013-01-01,2025-12-23,12.974674880219029,28888.705667177976,8.520003225803796,0.6051588338256637,-38.699065614526454,192,14.798058662165014,70.83333333333334,0.6194580899831202,6.963541666666667,11.485184236605651,-26.108268073649832,57.24336424688199,29083.927486926485,8495.120396991895
HDFCBANK,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,64877.92976484196,15.502379468136485,0.7704208281063906,-41.05496989762143,1,0.0770732221987761,100.0,548.7792976484196,3126.0,548.7792976484196,548.7792976484196,0.03197953309881374,65940.06802281,8276.650201688542
HINDALCO,model,2013-01-01,2025-12-23,12.974674880219029,26592.154860764153,7.829383772432075,0.4217745650227984,-56.58480292099376,193,14.875131884363789,69.94818652849742,0.8120371212351711,7.481865284974093,17.037536068003867,-49.70586815965912,53.82155420530861,34811.53878570972,6014.586163593035
HINDALCO,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,70901.66574880976,16.2954792389159,0.5976542052914856,-68.6334731778677,1,0.0770732221987761,100.0,609.0166574880976,3126.0,609.0166574880976,609.0166574880976,0.03197953309881374,70960.1236364584,4690.423082174822
HINDUNILVR,model,2013-01-01,2025-12-23,12.974674880219029,18060.55940714249,4.661535172411635,0.3847441208320094,-33.89157527000375,187,14.412692551171132,63.63636363636363,0.3712770751370413,8.16042780748663,8.530571408964427,-14.49498335999012,51.19923249120563,21510.14254871832,8161.140693724543
HINDUNILVR,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,54042.813880526344,13.887084479608358,0.6968913647757442,-30.455772651312017,1,0.0770732221987761,100.0,440.4281388052635,3126.0,440.4281388052635,440.4281388052635,0.03197953309881374,68991.28973298152,8163.527876768251
ICICIBANK,model,2013-01-01,2025-12-23,12.974674880219029,21646.75905218285,6.132846003485071,0.3853193010256918,-46.51097343457934,194,14.952205106562566,69.58762886597938,0.5178899123526729,7.61340206185567,16.150025523681123,-35.33215180387066,52.76622961304764,22561.04087030874,7318.901701779888
ICICIBANK,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,73966.2901179903,16.675383754159068,0.6733861497114129,-51.53051520131196,1,0.0770732221987761,100.0,639.662901179903,3126.0,639.662901179903,639.662901179903,0.03197953309881374,80164.79420594471,6876.302203637085
INFY,model,2013-01-01,2025-12-23,12.974674880219029,40507.688124359476,11.384528160989916,0.6836759045320626,-32.745488629188365,200,15.414644439755222,75.5,0.8076554499548635,6.67,16.763371411692706,-24.65535744517988,57.339302846178455,50651.442334922685,9999.0
INFY,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,80647.50459771015,17.455642399863013,0.7520160277254841,-36.549819974590214,1,0.0770732221987761,100.0,706.4750459771016,3126.0,706.4750459771016,706.4750459771016,0.03197953309881374,93890.32200491636,9579.570609941979
ITC,model,2013-01-01,2025-12-23,12.974674880219029,20650.13626790957,5.747990739924647,0.4242304348638164,-46.39945237996357,200,15.414644439755222,69.5,0.44083664970892833,7.615,16.50873007949358,-26.409435410849945,51.46590184831103,20917.70394247201,8472.001872528537
ITC,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,32727.016650966216,9.568444635549,0.5106556943339277,-55.28114056119475,1,0.0770732221987761,100.0,227.27016650966215,3137.0,227.27016650966215,227.27016650966215,0.031867431485022024,39093.39784097564,8796.15253838124
JSWSTEEL,model,2013-01-01,2025-12-23,12.974674880219029,91047.56516210112,18.558829128848075,0.8402903171937189,-52.0604049109922,202,15.568790884152774,72.27722772277228,1.2935641484427929,6.861386138613861,11.989983441155228,-44.491075261088554,54.72067951649788,96812.48953746945,7894.257173349375
JSWSTEEL,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,152663.8087880574,23.377042354618148,0.8219017467988519,-65.73619434617245,1,0.0770732221987761,100.0,1426.638087880574,3060.0,1426.638087880574,1426.638087880574,0.032669062397905346,168421.23626438773,5962.404787909136
KOTAKBANK,model,2013-01-01,2025-12-23,12.974674880219029,31150.412908745337,9.15228852276455,0.5826123467208824,-34.73481250379676,194,14.952205106562566,69.0721649484536,0.6553855423019384,7.304123711340206,10.19414377702561,-23.130527692755688,54.685001598976655,33784.89119518887,9138.831526440765
KOTAKBANK,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,67149.3716646271,15.80912711438096,0.7026023525591422,-36.49899541553783,1,0.0770732221987761,100.0,571.493716646271,3126.0,571.493716646271,571.493716646271,0.03197953309881374,70363.58477975079,9249.819903420153
LT,model,2013-01-01,2025-12-23,12.974674880219029,18994.08315238334,5.068858224350636,0.3578218046888197,-45.96666975927462,195,15.029278328761341,68.71794871794872,0.44676824061591297,7.38974358974359,14.849835804123334,-35.95326240780775,53.91749280460505,18994.08315238334,6487.412284359745
LT,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,68066.0987838596,15.930221388413557,0.6949233433680903,-54.442404865534634,1,0.0770732221987761,100.0,580.660987838596,3126.0,580.660987838596,580.660987838596,0.03197953309881374,68628.9033467532,6510.213571038137
M&M,model,2013-01-01,2025-12-23,12.974674880219029,28751.033997352708,8.480055987658064,0.5080082713536274,-59.95111497988987,199,15.337571217556446,70.85427135678391,0.6639824579141211,7.030150753768845,9.070829447771423,-39.262560207211536,55.10269576379974,29481.72098125487,6824.293881642501
M&M,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,87361.76550864834,18.181819934853173,0.7294497662550873,-72.27710063626314,1,0.0770732221987761,100.0,773.6176550864835,3115.0,773.6176550864835,773.6176550864835,0.03209242618742447,90548.70228693084,6158.095532832321
MARUTI,model,2013-01-01,2025-12-23,12.974674880219029,21285.271842568163,5.995181087671764,0.4020913241149922,-52.89600734411528,188,14.489765773369909,70.74468085106383,0.5062386628315177,7.324468085106383,9.224378094792574,-24.25390443800256,55.80872913992299,22224.73364594994,6989.738124844494
MARUTI,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,121883.8468258408,21.254361518303313,0.8632752502031187,-58.26466575391984,1,0.0770732221987761,100.0,1118.8384682584078,3115.0,1118.8384682584078,1118.8384682584078,0.03209242618742447,122355.18669513488,8210.735870889364
NESTLEIND,model,2013-01-01,2025-12-23,12.974674880219029,18822.301417507035,4.995312835478294,0.40003503727972156,-28.119566644251957,197,15.183424773158894,65.48223350253807,0.38637050122177935,7.319796954314721,8.812762060733093,-15.68822548656852,53.885513271506234,19327.37605383356,7258.476537786909
NESTLEIND,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,58814.081221002,14.632141174180745,0.7327430553271961,-31.958333833400165,1,0.0770732221987761,100.0,488.14081221002,3126.0,488.14081221002,488.14081221002,0.03197953309881374,63811.97100775132,9016.198971253032
NTPC,model,2013-01-01,2025-12-23,12.974674880219029,21418.202894843653,6.046054218305175,0.4220625056041946,-41.163878264579914,208,16.03123021734543,65.86538461538461,0.4378782492012204,7.375,10.901603831220896,-25.89769295041473,50.943396226415096,22014.559610140113,8551.83473034566
NTPC,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,40175.72415146936,11.313907819174407,0.550034480435308,-46.83008857735852,1,0.0770732221987761,100.0,301.7572415146936,3126.0,301.7572415146936,301.7572415146936,0.03197953309881374,53327.21067099257,7456.485960305594
ONGC,model,2013-01-01,2025-12-23,12.974674880219029,16642.119537017665,4.00381316675178,0.2923727558887857,-59.360022859684555,195,15.029278328761341,65.12820512820512,0.41016491537023864,7.471794871794872,15.751089584536082,-31.3409889038746,53.405820275023984,21496.953636142247,5705.869607961731
ONGC,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,24174.15732335293,7.0400056448204795,0.3799144040096664,-76.79084819372338,1,0.0770732221987761,100.0,141.7415732335293,3126.0,141.7415732335293,141.7415732335293,0.03197953309881374,32349.726151112118,4223.007127210815
POWERGRID,model,2013-01-01,2025-12-23,12.974674880219029,62778.30085263323,15.209887688776181,0.9276014165933332,-19.61567552916521,207,15.954156995146654,71.49758454106279,0.9387272163399786,7.072463768115942,9.439792658222812,-12.726232198611974,53.181963543332266,68032.96607559927,9541.434538069183
POWERGRID,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,70046.55205594696,16.18677089366567,0.7448906899763323,-29.55904888430121,1,0.0770732221987761,100.0,600.4655205594696,3126.0,600.4655205594696,600.4655205594696,0.03197953309881374,91485.40086653977,8147.003039204812
RELIANCE,model,2013-01-01,2025-12-23,12.974674880219029,18009.2260198114,4.638577405961586,0.3420771566580152,-41.59391445606306,192,14.798058662165014,65.625,0.3823581923516937,7.380208333333333,8.980403356267196,-25.110417866622313,54.685001598976655,22021.635346953055,8802.794043969334
RELIANCE,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,89224.96546873562,18.37419772736988,0.7849360098754374,-45.088356917966586,1,0.0770732221987761,100.0,792.2496546873563,3126.0,792.2496546873563,792.2496546873563,0.03197953309881374,90273.37804429432,9128.978469690825
SBIN,model,2013-01-01,2025-12-23,12.974674880219029,8955.768736194352,-0.8464166685964725,0.07183998375323541,-42.69190557352339,187,14.412692551171132,64.70588235294117,0.08775642730652178,7.684491978609626,10.104923568799396,-35.04948737637278,54.04541093700033,10463.952061224998,5996.691527988067
SBIN,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,46488.048864451586,12.572975592009495,0.5393013312576528,-59.49248058269324,1,0.0770732221987761,100.0,364.8804886445158,3126.0,364.8804886445158,364.8804886445158,0.03197953309881374,47063.04714520047,6191.299792851642
SHRIRAMFIN,model,2013-01-01,2025-12-23,12.974674880219029,43448.745346666394,11.987864094236912,0.5434962235562296,-77.93750296743669,197,15.183424773158894,69.03553299492386,1.033247368682902,7.025380710659898,29.801503348625037,-48.22026140124682,54.94791666666667,43448.745346666394,5993.856741687865
SHRIRAMFIN,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,76871.43571552314,17.022335683795543,0.6046503215647071,-71.866945323318,1,0.0770732221987761,100.0,668.7143571552314,3071.0,668.7143571552314,668.7143571552314,0.032552083333337034,76871.43571552314,6409.179528620267
SUNPHARMA,model,2013-01-01,2025-12-23,12.974674880219029,14949.41278074694,3.147532841746603,0.2611293232193564,-54.45546857722321,185,14.258546106773581,67.56756756756756,0.3223216710721036,7.648648648648648,10.350213842353973,-17.40156692988363,54.748960665174295,16636.47925530021,7577.006522073946
SUNPHARMA,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,51842.38817979535,13.52279515740622,0.6038578831068057,-71.46055483160552,1,0.0770732221987761,100.0,418.4238817979535,3126.0,418.4238817979535,418.4238817979535,0.03197953309881374,57003.5364443685,9081.544047253246
TATACONSUM,model,2013-01-01,2025-12-23,12.974674880219029,26833.812632917994,7.904593390282577,0.4792842752391689,-40.88477482021099,195,15.029278328761341,70.25641025641025,0.6314940349319111,6.917948717948718,15.66395336613069,-27.278469204981004,56.8596098496962,27340.589600904776,8200.636886405071
TATACONSUM,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,86340.77687077361,18.074789524921385,0.7250784658955609,-44.30465442237947,1,0.0770732221987761,100.0,763.4077687077362,3126.0,763.4077687077362,763.4077687077362,0.03197953309881374,90572.53192529267,6687.520206364493
TATASTEEL,model,2013-01-01,2025-12-23,12.974674880219029,45040.73014278476,12.298893196030436,0.5880944859655496,-46.968104761177685,200,15.414644439755222,70.0,0.932942181572208,7.175,16.287820065311486,-31.4471278077717,54.10937000319795,50150.88620093371,6096.533303916165
TATASTEEL,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,57436.70541575348,14.422961135558143,0.5667789108443537,-64.49633681085717,1,0.0770732221987761,100.0,474.36705415753477,3126.0,474.36705415753477,474.36705415753477,0.03197953309881374,62240.42396205175,4665.854550718891
TCS,model,2013-01-01,2025-12-23,12.974674880219029,20106.5319458304,5.530786039686886,0.4246212710820842,-28.424816995274128,192,14.798058662165014,65.625,0.42276152609659007,7.296875,7.432520048357016,-12.448037073936469,55.196674128557724,26462.724306608892,9999.0
TCS,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,69319.6793032284,16.09339809055235,0.7737068513681913,-34.44898224870373,1,0.0770732221987761,100.0,593.1967930322841,3126.0,593.1967930322841,593.1967930322841,0.03197953309881374,91938.19003339323,9953.51963832005
TECHM,model,2013-01-01,2025-12-23,12.974674880219029,37147.377879389125,10.643575049734078,0.6251721414956839,-39.98211904196466,197,15.183424773158894,72.58883248730965,0.8056893101002249,7.106598984771574,11.050618297698712,-34.893387189176295,55.228653661656544,54375.999268653686,9991.987652659023
TECHM,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,99367.49994864807,19.360556893684123,0.782061550776572,-46.597159277329425,1,0.0770732221987761,100.0,893.6749994864806,3126.0,893.6749994864806,893.6749994864806,0.03197953309881374,106237.63001879347,9744.11128343806
TITAN,model,2013-01-01,2025-12-23,12.974674880219029,34768.30841195695,10.080593114640957,0.5877059727805456,-38.16304542686192,200,15.414644439755222,69.5,0.7362572934800611,6.7,9.800560668065984,-27.47716058373705,57.14742564758555,44129.09359653874,7867.092979604503
TITAN,buy_and_hold,2013-01-01,2025-12-23,12.974674880219029,145411.5559103714,22.915101749986388,0.8473347109432843,-41.73002265373932,1,0.0770732221987761,100.0,1354.1155591037138,3126.0,1354.1155591037138,1354.1155591037138,0.03197953309881374,145708.87933181057,7128.950342761151
TMPV,model,2013-01-01,2025-12-23,12.974674880219029,6221.89760910435,-3.591134834055798,0.0472703930870721,-84.74046355095113,193,14.875131884363789,65.28497409326425,0.2293750378548075,7.818652849740933,35.91274758368521,-63.57821907455008,51.74288455388552,21503.623866544607,3281.353321781746
