epoch,train_loss,val_loss,val_acc,val_recall_0,val_recall_1,val_recall_2,lr,elapsed_s
0,1.0884737823996642,1.0736324787139893,0.4266666666666667,0.6048034934497817,0.09840425531914894,0.570446735395189,0.00015416666666666663,2.070570707321167
1,1.0697486682647233,1.0590686798095703,0.4577777777777778,0.6222707423580786,0.6117021276595744,0.0,0.0003,3.522120237350464
2,1.0637553066229413,1.0588940382003784,0.4657777777777778,0.6812227074235808,0.4920212765957447,0.09278350515463918,0.0002996788384857905,5.0140955448150635
3,1.0660325758229177,1.0525381565093994,0.43822222222222224,0.7510917030567685,0.05053191489361702,0.44673539518900346,0.00029871672920607153,6.4936535358428955
4,1.0586116180425194,1.0603444576263428,0.45066666666666666,0.5938864628820961,0.5452127659574468,0.10309278350515463,0.00029711779206048454,8.02721905708313
5,1.0538670583480363,1.0728633403778076,0.4177777777777778,0.3951965065502183,0.7686170212765957,0.0,0.0002948888739433602,9.526254177093506
6,1.0581457942543009,1.06653892993927,0.44533333333333336,0.5611353711790393,0.5930851063829787,0.07216494845360824,0.0002920395194242658,10.99994945526123
7,1.0475009392743087,1.0707539319992065,0.4311111111111111,0.5436681222707423,0.4441489361702128,0.23711340206185566,0.000288581929876693,12.428559064865112
8,1.032543311546098,1.0562489032745361,0.46755555555555556,0.7510917030567685,0.36436170212765956,0.15463917525773196,0.00028453091122990323,13.866331100463867
9,1.0228475814632714,1.0782307386398315,0.44622222222222224,0.5786026200873362,0.5558510638297872,0.09621993127147767,0.0002799038105676658,15.336110830307007
