category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.09573529,-0.000815493,0.08455336,0.0044328887,0.08912502,0.0009983128
price_transform,0.044316508,0.0014340916,0.039318673,0.001017705,0.041998763,-0.00018704783
volatility,0.011649743,0.00034078554,0.010859962,-6.4997002e-06,0.010010696,0.0006887882
volume,0.048386186,-0.005339298,0.049138345,0.0071648564,0.047024082,0.0044798246
momentum,0.6243981,0.0031397506,0.6630208,0.03896951,0.6542804,0.04169207
overlap,0.17551413,0.00048218278,0.15310884,0.0053717494,0.15756103,0.0028364817
