category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.09238173,0.0131485155,0.0906778,0.02574395,0.10205114,0.032014355
price_transform,0.04495168,0.010427298,0.04171529,0.00717296,0.041166253,0.00705382
volatility,0.009844318,0.0027991973,0.008778188,-0.0021061506,0.0095078,0.0018940321
volume,0.056659468,0.012988802,0.05828167,0.038779955,0.055779953,0.032536443
momentum,0.62248975,0.17437616,0.62913626,0.26922923,0.59474874,0.20425656
overlap,0.17367317,0.028965978,0.17141072,0.04969,0.19674614,0.066765144
