category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.09873268,0.015270398,0.09023582,0.029479437,0.10324605,0.031515036
price_transform,0.056186065,0.016953956,0.03986583,0.0065565733,0.04448486,0.0054111453
volatility,0.011142236,0.005460601,0.009095638,-0.0014916818,0.0091945445,0.0015849214
volume,0.04966189,-0.01310166,0.05676145,0.034863934,0.05476056,0.028696898
momentum,0.59991276,0.14269626,0.62810296,0.26678765,0.60025245,0.21411294
overlap,0.18436435,0.024260985,0.17593835,0.056594603,0.18806165,0.060314745
