category,importance_Hold,signed_Hold,importance_Buy,signed_Buy,importance_Sell,signed_Sell
statistics,0.09081677,-0.0005743856,0.08529206,0.0039971797,0.08689779,0.0010786874
price_transform,0.043075044,0.0007144766,0.041077968,0.0010998023,0.041229166,0.0004558328
volatility,0.011179849,-6.816342e-05,0.011032564,-9.042359e-05,0.009541278,0.00074521475
volume,0.047759995,-0.002122147,0.050844893,0.008617395,0.04716403,0.0062048594
momentum,0.6405748,0.002304884,0.66104126,0.046086535,0.64859545,0.042341474
overlap,0.16659354,0.0014154355,0.15071127,0.0056232116,0.16657229,0.0034980043
