epoch,train_loss,val_loss,val_acc,val_recall_0,val_recall_1,val_recall_2,lr,elapsed_s
0,1.098136862048459,1.1119552850723267,0.07949412827461608,0.015495867768595042,0.0958904109589041,1.0,0.00015374999999999997,1.6212689876556396
1,1.0336637021357993,0.9964268207550049,0.3324299909665763,0.2892561983471074,0.7397260273972602,0.5151515151515151,0.0003,3.253521203994751
2,0.9530953664574511,0.9705867767333984,0.45167118337850043,0.4380165289256198,0.6301369863013698,0.45454545454545453,0.0002996788384857905,4.915796756744385
3,0.9071368499811006,1.0823602676391602,0.2014453477868112,0.14979338842975207,0.9726027397260274,0.10606060606060606,0.00029871672920607153,6.51591682434082
4,0.8354536272822128,1.061218500137329,0.23125564588979222,0.1787190082644628,0.8904109589041096,0.2727272727272727,0.00029711779206048454,8.107218742370605
5,0.7499523833349938,0.8758032917976379,0.33965672990063234,0.2902892561983471,0.684931506849315,0.6818181818181818,0.0002948888739433602,9.68930959701538
6,0.6321461696772503,1.083440899848938,0.3215898825654923,0.26962809917355374,0.9726027397260274,0.36363636363636365,0.0002920395194242658,11.329380989074707
7,0.5835545294755823,0.8440998196601868,0.44896115627822947,0.4080578512396694,0.821917808219178,0.6363636363636364,0.000288581929876693,12.927152872085571
8,0.5396948992700202,0.8742378354072571,0.3748870822041554,0.31508264462809915,0.684931506849315,0.9090909090909091,0.00028453091122990323,14.664573431015015
9,0.5290639578696184,0.7668363451957703,0.43541102077687444,0.3884297520661157,0.6986301369863014,0.8333333333333334,0.0002799038105676658,16.358655214309692
10,0.5015863794440086,0.9255736470222473,0.5383920505871725,0.5175619834710744,0.8904109589041096,0.45454545454545453,0.0002747204418453818,17.953601121902466
11,0.4890785179642594,0.9276349544525146,0.44715447154471544,0.4049586776859504,0.6986301369863014,0.7878787878787878,0.00026900300104368524,19.61737823486328
12,0.46599362048614373,0.8256742358207703,0.42728093947606144,0.371900826446281,0.8356164383561644,0.7878787878787878,0.0002627759711218466,21.32331943511963
13,0.4343892363300214,0.8545650243759155,0.48509485094850946,0.44111570247933884,0.8767123287671232,0.696969696969697,0.00025606601717798207,22.960019826889038
14,0.42403018102858553,0.7646445035934448,0.4995483288166215,0.45764462809917356,0.9178082191780822,0.6515151515151515,0.0002489018722650103,24.608092308044434
15,0.40697739899264346,0.9794098138809204,0.5609756097560976,0.5433884297520661,0.8767123287671232,0.4696969696969697,0.00024131421435130807,26.252670526504517
16,0.3914841602769433,1.0114290714263916,0.48870822041553746,0.45144628099173556,0.9315068493150684,0.5454545454545454,0.0002333355349529403,27.901721000671387
17,0.38619731963327797,1.0267417430877686,0.5700090334236676,0.5588842975206612,0.7534246575342466,0.5303030303030303,0.000225,29.458056688308716
18,0.36093115853044627,1.0468086004257202,0.4643179765130985,0.4225206611570248,0.958904109589041,0.5303030303030303,0.00021634330353285017,31.107627868652344
19,0.34736985201686943,1.2927151918411255,0.6151761517615176,0.6167355371900827,0.8767123287671232,0.30303030303030304,0.00020740251485476345,32.66621541976929
20,0.3393663494855618,1.3307616710662842,0.6522131887985546,0.6714876033057852,0.726027397260274,0.2878787878787879,0.00019821591979547423,34.31812596321106
