ticker,strategy,start_date,end_date,years,final_capital,annualized_return_pct,sharpe_daily_annualized,max_drawdown_pct,transactions,transactions_per_year,success_pct,avg_profit_per_transaction_pct,avg_transaction_length_days,max_profit_per_transaction_pct,max_loss_per_transaction_pct,idle_ratio_pct,max_capital,min_capital
EWH,model,2007-01-03,2021-12-23,14.97056810403833,34898.32103015204,8.707150499933247,0.472392004019262,-63.575880796405926,6,0.4007863935625457,66.66666666666666,27.99039590667667,548.5,100.63154464832076,-7.982402932270283,11.102106969205838,41332.225513394675,5677.447962770485
EWH,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,22373.523656692414,5.5264829560940365,0.34150459067122296,-63.575880796405926,1,0.06679773226042429,100.0,123.73523656692416,3701.0,123.73523656692416,123.73523656692416,0.027012425715833288,26552.605604952703,5431.51781732869
EWZ,model,2007-01-03,2021-12-23,14.97056810403833,10603.265681878596,0.3920472036762046,0.17468095259643207,-74.11654528005259,8,0.5343818580833943,50.0,6.061734299274244,270.5,93.31279738561093,-27.14832092434475,41.54511075094543,24063.28825472686,6106.243872178963
EWZ,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,9705.899519638973,-0.19920054137282373,0.19879099380771278,-77.24913559799904,1,0.06679773226042429,0.0,-2.94100480361027,3701.0,-2.94100480361027,-2.94100480361027,0.027012425715833288,21832.784017616403,4967.147087029644
QQQ,model,2007-01-03,2021-12-23,14.97056810403833,92365.3653428079,16.009571285464297,0.8130564807031496,-50.2889590830343,6,0.4007863935625457,66.66666666666666,58.151541637038285,569.1666666666666,163.3185430972909,-2.2258745568580984,7.752566180442999,93891.6684211451,5199.03674950951
QQQ,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,104237.51766385496,16.95039652053105,0.8342127079758551,-53.40400543064885,1,0.06679773226042429,100.0,942.3751766385496,3701.0,942.3751766385496,942.3751766385496,0.027012425715833288,105959.87295681135,5940.974306342942
SPY,model,2007-01-03,2021-12-23,14.97056810403833,36474.67959395462,9.028429613244437,0.5423062777154648,-54.86733023831615,4,0.26719092904169717,100.0,49.695597906434486,858.5,162.6732239636171,0.19128765102129908,7.239330091842245,36474.67959395462,5050.038672338697
SPY,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,44780.47405163583,10.532819376649382,0.602205598351286,-55.189433549788966,1,0.06679773226042429,100.0,347.80474051635827,3701.0,347.80474051635827,347.80474051635827,0.027012425715833288,44780.47405163583,5024.361266877717
XLE,model,2007-01-03,2021-12-23,14.97056810403833,11452.976620989142,0.9103270643415096,0.17705369793538592,-70.92758233546888,12,0.8015727871250914,58.333333333333336,3.1343049893264947,225.25,39.23870015950182,-35.37377943862885,26.985413290113446,16607.398829920337,4828.172351048894
XLE,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,14881.41525253916,2.6909669907497324,0.24493017782835536,-71.26277221801041,1,0.06679773226042429,100.0,48.814152525391606,3701.0,48.814152525391606,48.814152525391606,0.027012425715833288,20261.53969620328,5822.60481463618
XLF,model,2007-01-03,2021-12-23,14.97056810403833,15374.759133942833,2.914927441549553,0.2529907079248963,-82.68654705980497,5,0.3339886613021214,80.0,30.04460738256639,704.6,183.92001652507548,-56.52971717010602,4.835224203133437,16011.988907338102,1810.36075907413
XLF,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,17533.738370064573,3.8222090004072173,0.2809469510531808,-82.68654705980497,1,0.06679773226042429,100.0,75.33738370064573,3701.0,75.33738370064573,75.33738370064573,0.027012425715833288,18260.30401677816,1790.2565533395464
XLP,model,2007-01-03,2021-12-23,14.97056810403833,44598.56893187252,10.502770119226001,0.760032988640405,-32.38757383488847,3,0.20039319678127285,100.0,73.15253860660205,1205.3333333333333,141.6417572452439,9.943637520713633,2.3230686115613186,45037.61405509223,7854.889504559156
XLP,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,42711.90795105374,10.184179352515322,0.7371697835417199,-32.38757383488847,1,0.06679773226042429,100.0,327.1190795105374,3701.0,327.1190795105374,327.1190795105374,0.027012425715833288,43132.422791097866,7735.378309199041
XLU,model,2007-01-03,2021-12-23,14.97056810403833,25240.493967582468,6.37981348167147,0.42569400988506395,-46.48094127441394,7,0.46758412582297,85.71428571428571,19.699285733848683,448.14285714285717,126.76835591194857,-3.1135297811158313,15.262020529443543,25533.169213980123,5885.5294398452215
XLU,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,32405.825748118004,8.170407207330621,0.5050180665260645,-46.48094127441394,1,0.06679773226042429,100.0,224.05825748118002,3701.0,224.05825748118002,224.05825748118002,0.027012425715833288,32781.29918052212,6575.8713515625595
XLY,model,2007-01-03,2021-12-23,14.97056810403833,45659.66883515443,10.676468360834,0.6216708416544592,-58.479544822472306,7,0.46758412582297,85.71428571428571,30.85136604943762,403.7142857142857,143.94927626493748,-6.126086422107935,23.66288492706645,45659.66883515443,4333.602006472376
XLY,buy_and_hold,2007-01-03,2021-12-23,14.97056810403833,64975.64605611732,13.315650803166257,0.6815261377497025,-59.04753591884495,1,0.06679773226042429,100.0,549.7564605611732,3701.0,549.7564605611732,549.7564605611732,0.027012425715833288,67507.36486908353,4303.549728352934
