epoch,train_loss,val_loss,val_acc,val_recall_0,val_recall_1,val_recall_2,lr,elapsed_s
0,1.044776102090617,0.9660218358039856,0.4470338983050847,0.4338380513495721,0.6289308176100629,0.45425867507886436,0.0001508064516129032,9.51625394821167
1,0.944306060969088,0.8194113373756409,0.39522342064714944,0.34715821812596004,0.7389937106918238,0.7413249211356467,0.0003,18.97292971611023
2,0.6561112683628576,0.5604934096336365,0.4219953775038521,0.34825543120473995,0.9842767295597484,0.917981072555205,0.0002996788384857905,28.36845827102661
3,0.5550479185672215,0.5206618309020996,0.44356702619414484,0.3706385780118499,0.9591194968553459,0.9747634069400631,0.00029871672920607153,37.84026384353638
4,0.5248200459836069,0.5116525292396545,0.5292758089368259,0.4739960500329164,0.9748427672955975,0.8769716088328076,0.00029711779206048454,47.17093539237976
5,0.5021897703113799,0.48334649205207825,0.5529661016949152,0.49967083607636603,0.9528301886792453,0.917981072555205,0.0002948888739433602,56.57418465614319
6,0.48722196477805707,0.4971182346343994,0.5025038520801233,0.43888523151195963,0.9308176100628931,0.9873817034700315,0.0002920395194242658,65.89559435844421
7,0.4794086222606586,0.46952345967292786,0.5912942989214176,0.5424621461487821,0.9308176100628931,0.9526813880126183,0.000288581929876693,75.35258293151855
8,0.4652398587243601,0.45639568567276,0.5643297380585516,0.5075707702435813,0.9528301886792453,0.9905362776025236,0.00028453091122990323,84.90452647209167
9,0.45215892821539055,0.44916924834251404,0.5666409861325116,0.5113012947114329,0.9528301886792453,0.9747634069400631,0.0002799038105676658,94.32075452804565
10,0.4453415701247422,0.4500780701637268,0.5807010785824345,0.5275400482773754,0.9654088050314465,0.9589905362776026,0.0002747204418453818,103.70382499694824
11,0.44315214630039906,0.4337417185306549,0.5785824345146379,0.5238095238095238,0.9748427672955975,0.9684542586750788,0.00026900300104368524,113.11647486686707
12,0.43012164135107767,0.449541836977005,0.5770416024653313,0.522492868114988,0.9465408805031447,0.9905362776025236,0.0002627759711218466,122.46832060813904
13,0.4324628944210232,0.4405173659324646,0.5564329738058552,0.4965986394557823,0.9779874213836478,0.9936908517350158,0.00025606601717798207,131.8989109992981
14,0.4302173472173835,0.45863956212997437,0.5982280431432974,0.5508009655475093,0.9213836477987422,0.9558359621451105,0.0002489018722650103,141.24261021614075
15,0.4224551030776377,0.45386937260627747,0.6157550077041603,0.5705508009655476,0.9433962264150944,0.9369085173501577,0.00024131421435130807,150.51221179962158
16,0.4201258276338403,0.46022987365722656,0.601502311248074,0.5529953917050692,0.9308176100628931,0.9684542586750788,0.0002333355349529403,159.7747402191162
17,0.41697729002057266,0.4440235197544098,0.5685670261941448,0.511520737327189,0.9685534591194969,0.9873817034700315,0.000225,169.08601665496826
